Comparison	Genes w/ adj. p-value	Genes w/ adj. p-value < 0.05	Genes upregulated in older sample	Genes downregulated in older sample
0d vs 49d	16567	8118	3647	4471
0d vs 56d	16567	6759	2990	3769
0d vs 72d	16567	7489	3244	4245
0d vs 91d	16567	7039	3125	3914
0d vs 126d	16567	7541	3331	4210
0d vs 189d	16567	7017	3160	3857
49d vs 56d	15924	2109	1195	914
49d vs 72d	15603	1316	592	724
49d vs 91d	16245	1012	533	479
49d vs 126d	15924	1286	670	616
49d vs 189d	16245	1167	534	633
56d vs 72d	16245	245	5	240
56d vs 91d	16245	977	520	457
56d vs 126d	15603	1382	533	849
56d vs 189d	15603	1984	821	1163
72d vs 91d	15603	271	266	5
72d vs 126d	16245	194	134	60
72d vs 189d	16245	936	563	373
91d vs 126d	16567	2	0	2
91d vs 189d	16567	159	21	138
126d vs 189d	13034	32	8	24
